time,x_pos,y_pos,velocity,rotation,action
0,1.78,4.42,0,3.14159,0
0.14562,1.79906,4.42929,0.291239,3.14159,0
0.205325,1.81792,4.43842,0.410651,3.14159,0
0.25073,1.83659,4.44737,0.50146,3.14159,0
0.288669,1.85507,4.45616,0.577338,3.14159,0
0.321798,1.87337,4.46479,0.643595,3.14159,0
0.351484,1.89147,4.47325,0.702969,3.14159,0
0.378547,1.9094,4.48156,0.757093,3.14159,0
0.403515,1.92715,4.4897,0.80703,3.14159,0
0.426763,1.94472,4.49769,0.853526,3.14159,0
0.448561,1.96212,4.50551,0.897121,3.14159,0
0.469116,1.97935,4.51319,0.938232,3.14159,0
0.488588,1.99642,4.52071,0.977176,3.14159,0
0.507107,2.01332,4.52807,1.01421,3.14159,0
0.525339,2.03006,4.53529,1,3.14159,0
0.543368,2.04665,4.54236,1,3.14159,0
0.561198,2.06308,4.54928,1,3.14159,0
0.578833,2.07937,4.55605,1,3.14159,0
0.596276,2.0955,4.56268,1,3.14159,0
0.613532,2.11149,4.56916,1,3.14159,0
0.630603,2.12734,4.5755,1,3.14159,0
0.647495,2.14305,4.58171,1,3.14159,0
0.664209,2.15863,4.58777,1,3.14159,0
0.680752,2.17407,4.59369,1,3.14159,0
0.697125,2.18939,4.59948,1,3.14159,0
0.713332,2.20458,4.60514,1,3.14159,0
0.72938,2.21965,4.61066,1,3.14159,0
0.745269,2.23459,4.61605,1,3.14159,0
0.761005,2.24942,4.62131,1,3.14159,0
0.776591,2.26414,4.62644,1,3.14159,0
0.792032,2.27875,4.63144,1,3.14159,0
0.80733,2.29325,4.63632,1,3.14159,0
0.82249,2.30764,4.64107,1,3.14159,0
0.837516,2.32194,4.6457,1,3.14159,0
0.852411,2.33614,4.65021,1,3.14159,0
0.867181,2.35024,4.6546,1,3.14159,0
0.881827,2.36425,4.65887,1,3.14159,0
0.896355,2.37817,4.66303,1,3.14159,0
0.910767,2.392,4.66706,1,3.14159,0
0.925069,2.40576,4.67099,1,3.14159,0
0.939264,2.41943,4.6748,1,3.14159,0
0.953355,2.43303,4.6785,1,3.14159,0
0.967348,2.44655,4.68209,1,3.14159,0
0.981245,2.46001,4.68557,1,3.14159,0
0.99505,2.47339,4.68895,1,3.14159,0
1.00877,2.48671,4.69222,1,3.14159,0
1.0224,2.49998,4.69538,1,3.14159,0
1.03596,2.51318,4.69845,1,3.14159,0
1.04944,2.52633,4.70141,1,3.14159,0
1.06284,2.53943,4.70428,1,3.14159,0
1.07618,2.55247,4.70704,1,3.14159,0
1.08946,2.56548,4.70971,1,3.14159,0
1.10267,2.57844,4.71229,1,3.14159,0
1.11583,2.59136,4.71477,1,3.14159,0
1.12893,2.60424,4.71716,1,3.14159,0
1.14199,2.61709,4.71946,1,3.14159,0
1.155,2.62992,4.72167,1,3.14159,0
1.16797,2.64271,4.72379,1,3.14159,0
1.1809,2.65548,4.72583,1,3.14159,0
1.1938,2.66823,4.72778,1,3.14159,0
1.20667,2.68096,4.72965,1,3.14159,0
1.21951,2.69368,4.73144,1,3.14159,0
1.23233,2.70639,4.73314,1,3.14159,0
1.24513,2.71908,4.73477,1,3.14159,0
1.25792,2.73178,4.73632,1,3.14159,0
1.27069,2.74447,4.7378,1,3.14159,0
1.28346,2.75716,4.7392,1,3.14159,0
1.29622,2.76985,4.74053,1,3.14159,0
1.30899,2.78255,4.74178,1,3.14159,0
1.32175,2.79526,4.74297,1,3.14159,0
1.33453,2.80799,4.74409,1,3.14159,0
1.34731,2.82073,4.74514,1,3.14159,0
1.36011,2.83349,4.74613,1,3.14159,0
