time,x_pos,y_pos,velocity,rotation,action
0,7.2,1.2,0,6.21337,0
0.138981,7.18664,1.20559,0.208472,3.14159,0
0.196518,7.17322,1.21104,0.294777,3.14159,0
0.240641,7.15977,1.21636,0.360962,3.14159,0
0.277829,7.14627,1.22153,0.416743,3.14159,0
0.310584,7.13272,1.22657,0.465876,3.14159,0
0.340188,7.11912,1.23147,0.510283,3.14159,0
0.36741,7.10548,1.23623,0.551116,3.14159,0
0.392748,7.0918,1.24087,0.589123,3.14159,0
0.416545,7.07808,1.24536,0.624817,3.14159,0
0.439058,7.0643,1.24973,0.658587,3.14159,0
0.460472,7.05049,1.25396,0.690709,3.14159,0
0.480938,7.03664,1.25807,0.721407,3.14159,0
0.500576,7.02274,1.26204,0.750863,3.14159,0
0.519477,7.0088,1.26589,0.779215,3.14159,0
0.537723,6.99482,1.26961,0.806585,3.14159,0
0.555381,6.9808,1.2732,0.833071,3.14159,0
0.572502,6.96673,1.27667,0.858754,3.14159,0
0.589138,6.95263,1.28002,0.883708,3.14159,0
0.60533,6.93849,1.28324,0.907995,3.14159,0
0.621112,6.92431,1.28634,0.931668,3.14159,0
0.636516,6.91009,1.28932,0.954774,3.14159,0
0.651571,6.89583,1.29218,0.977357,3.14159,0
0.6663,6.88153,1.29492,0.999449,3.14159,0
0.680724,6.86719,1.29754,1.02109,3.14159,0
0.694866,6.85282,1.30005,1.0423,3.14159,0
0.708741,6.83841,1.30243,1.06311,3.14159,0
0.722366,6.82396,1.30471,1.08355,3.14159,0
0.735756,6.80948,1.30687,1.10363,3.14159,0
0.748924,6.79496,1.30892,1.12339,3.14159,0
0.76188,6.78041,1.31085,1.14282,3.14159,0
0.774639,6.76582,1.31268,1.16196,3.14159,0
0.787207,6.7512,1.31439,1.18081,3.14159,0
0.799598,6.73654,1.316,1.1994,3.14159,0
0.811816,6.72185,1.3175,1.21772,3.14159,0
0.823871,6.70713,1.31889,1.23581,3.14159,0
0.835773,6.69237,1.32018,1.25366,3.14159,0
0.847524,6.67758,1.32136,1.27129,3.14159,0
0.859134,6.66276,1.32244,1.2887,3.14159,0
0.870608,6.6479,1.32341,1.30591,3.14159,0
0.881952,6.63302,1.32429,1.32293,3.14159,0
0.89317,6.6181,1.32506,1.33976,3.14159,0
0.904268,6.60316,1.32573,1.3564,3.14159,0
0.91525,6.58818,1.32631,1.37287,3.14159,0
0.926122,6.57318,1.32678,1.38918,3.14159,0
0.936885,6.55814,1.32717,1.40533,3.14159,0
0.947545,6.54308,1.32745,1.42132,3.14159,0
0.958105,6.52799,1.32764,1.43716,3.14159,0
0.968569,6.51287,1.32774,1.45285,3.14159,0
0.978939,6.49772,1.32774,1.46841,3.14159,0
0.98922,6.48255,1.32766,1.48383,3.14159,0
0.999413,6.46734,1.32748,1.49912,3.14159,0
1.00952,6.45212,1.32722,1.51428,3.14159,0
1.01969,6.43686,1.32686,1.5,3.14159,0
1.02988,6.42158,1.32642,1.5,3.14159,0
1.04009,6.40628,1.32589,1.5,3.14159,0
1.05032,6.39095,1.32528,1.5,3.14159,0
1.06057,6.3756,1.32458,1.5,3.14159,0
1.07083,6.36022,1.3238,1.5,3.14159,0
1.08112,6.34482,1.32293,1.5,3.14159,0
1.09142,6.32939,1.32199,1.5,3.14159,0
1.10174,6.31395,1.32096,1.5,3.14159,0
1.11208,6.29848,1.31986,1.5,3.14159,0
1.12243,6.28299,1.31868,1.5,3.14159,0
1.13281,6.26747,1.31742,1.5,3.14159,0
1.1432,6.25194,1.31608,1.5,3.14159,0
1.15362,6.23638,1.31467,1.5,3.14159,0
1.16405,6.22081,1.31319,1.5,3.14159,0
1.1745,6.20521,1.31163,1.5,3.14159,0
1.18496,6.1896,1.31,1.5,3.14159,0
1.19544,6.17397,1.3083,1.5,3.14159,0
1.20595,6.15832,1.30653,1.5,3.14159,0
